id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
62326,37992800B46036584412355,KHM,Kampong Speu,0.05,0.05,396391.85,528797.54,104.29259044093132,11.536152424815365
62326,37992800B97964954759505,KHM,Preah Sihanouk,0.02,0.02,144332.47,528797.54,103.81438336326443,10.874341671286018
62326,37992800B4812755629120,KHM,Siem Reap,0.08,0.08,649290.65,528797.54,104.01851849525502,13.475120362381773
62326,37992800B90729700897308,KHM,Stung Treng,0.08,0.08,689266.75,528797.54,106.17554075342225,13.806034104068933
62326,37992800B4485162085463,KHM,Ratanakiri Province,0.08,0.08,675236.32,528797.54,107.08762380817566,13.798702483603323
62326,37992800B84760754839946,KHM,Mondulkiri,0.09,0.09,779800.37,528797.54,106.99238840086653,12.765589492344418
62326,37992800B73119019658513,KHM,Oddar Meanchey,0.04,0.04,380455.69,528797.54,103.78763958846912,14.166388333948742
62326,37992800B94509217911919,KHM,Preah Vihear,0.1,0.1,804762.02,528797.54,105.00630154149792,13.800038941722022
62343,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,823101619.1,823101619.1,104.86483422636606,11.561507597941345
62347,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,27854538.72,27854538.72,104.86483422636606,11.561507597941345
62348,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,13579369.12,13579369.12,104.86483422636606,11.561507597941345
62371,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,9392988.46,9392988.46,104.86483422636606,11.561507597941345
62498,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62635,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62645,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,3928186.71,3928186.71,104.86483422636606,11.561507597941345
62655,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,692088.11,692088.11,104.86483422636606,11.561507597941345
